Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-05-17 15:19:14,false,"Henrico County Running","3.62","324","00:43:35","120","179","1.5","84","214","12:02","3:52","82","72","1.51","0.0","3,780","--","78.8","No","00:00:15.8","13","87.8","00:22:54","00:56:36","212","257"
Running,2021-05-15 10:02:41,false,"Henrico County Running","8.00","795","00:59:03","154","172","3.2","167","194","7:23","6:17","305","299","1.31","0.0","9,910","--","71.6","No","00:59:03","1","80.6","00:58:55","01:10:47","159","225"
Running,2021-05-14 15:16:44,false,"Henrico County Running","4.21","513","00:45:43","144","173","2.3","84","229","10:52","2:05","49","49","1.92","0.0","4,212","--","71.6","No","00:00:14.6","26","84.2","00:29:41","00:48:43","206","257"
Running,2021-05-13 12:00:50,false,"Henrico County Running","6.00","624","00:43:49","156","173","3.3","167","178","7:18","6:15","226","220","1.32","0.0","7,396","--","71.6","No","00:43:49","1","84.2","00:43:43","00:44:34","158","221"
Running,2021-05-11 15:20:32,false,"Henrico County Running","5.02","552","00:53:57","142","167","2.9","102","234","10:45","3:13","161","161","1.71","0.0","6,110","--","73.4","No","00:00:13.9","10","86.0","00:40:56","01:09:56","177","291"
Running,2021-05-10 15:18:15,false,"Henrico County Running","4.67","419","00:52:13","124","163","1.5","93","223","11:11","3:40","75","72","1.58","0.0","4,978","--","66.2","No","00:00:14.0","16","80.6","00:29:55","00:57:53","218","270"
Running,2021-05-08 12:02:50,false,"Henrico County Running","10.00","967","01:17:55","148","168","2.8","156","229","7:47","3:22","374","344","1.30","0.0","12,390","--","68.0","No","00:00:00.7","15","86.0","01:15:29","01:36:03","154","245"
