Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,11/23/24 11:58,FALSE,Älvdalen Walking,2.48,671,1:33:05,125,161,2.2,41,208,37:34:00,7:28,751,157,1.15,0,"5,108",--,55.4,No,0:26:32,3,77,0:55:29,1:33:05,"3,899","4,575"
Running,4/20/24 7:45,FALSE,Running,9.28,"1,189",1:06:41,181,194,5,179,221,7:11,6:51,636,666,1.25,0,"11,898",--,69.8,No,1:06:41,1,75.2,1:06:37,1:06:41,282,518
Running,3/25/24 16:21,FALSE,Winston-Salem Running,10,"1,265",1:11:16,178,190,5,179,196,7:08,6:01,538,535,1.26,0,"12,724",--,66.2,No,1:11:16,1,75.2,1:11:16,1:11:16,920,"1,050"
Running,3/20/24 15:13,FALSE,Winston-Salem Running,4.27,540,0:32:02,167,191,3.8,170,186,7:30,6:16,131,154,1.27,0,"5,420",--,77,No,0:32:02,1,80.6,0:32:02,0:32:02,877,961
Running,3/19/24 18:01,FALSE,Winston-Salem Running,3.28,359,0:40:45,124,158,2,102,229,12:26,3:16,108,112,1.33,0,"4,446",--,60.8,No,00:01.8,42,69.8,0:39:29,0:40:45,902,939
Running,3/18/24 16:51,FALSE,Winston-Salem Running,10,"1,114",1:13:29,159,175,3.7,175,191,7:21,6:12,367,328,1.25,0,"12,892",--,60.8,No,1:13:29,1,68,1:13:29,1:13:29,892,"1,004"
Running,3/4/24 16:05,FALSE,Winston-Salem Running,3,326,0:21:53,152,172,3,170,186,7:17,5:36,171,171,1.3,0,"3,754",--,71.6,No,0:21:53,1,78.8,0:21:48,0:21:53,911,985
Running,2/28/24 5:28,FALSE,Winston-Salem Running,0.74,102,06:55.7,150,159,2,156,171,9:21,7:49,20,23,1.11,0,"1,120",--,69.8,No,06:55.7,1,77,0:06:32,06:55.7,825,850
Running,2/27/24 17:17,FALSE,Winston-Salem Running,1.04,60,05:02.1,131,145,0.7,183,204,4:51,2:39,3,--,1.81,0,934,--,60.8,No,05:02.1,1,64.4,0:05:02,05:02.1,959,971
Running,2/26/24 16:02,FALSE,Running,4,505,0:31:31,162,183,3.8,170,186,7:53,6:36,210,207,1.2,0,"5,398",--,71.6,No,0:31:31,1,78.8,0:31:25,0:31:31,915,"1,005"
Running,2/25/24 12:06,FALSE,Running,5.56,700,0:44:09,164,185,4.3,166,190,7:56,6:41,325,377,1.22,0,"7,392",--,62.6,No,0:44:09,1,73.4,0:44:09,0:46:12,897,"1,028"
Running,2/23/24 16:37,FALSE,Running,4.03,401,0:39:26,138,179,3,140,234,9:47,3:31,246,259,1.16,0,"5,678",--,62.6,No,00:19.4,19,75.2,0:39:10,0:49:27,915,"1,015"
Running,2/22/24 17:29,FALSE,Running,4.03,541,0:32:46,168,186,4.1,168,188,8:08,5:34,289,243,1.18,0,"5,514",--,68,No,0:32:46,1,73.4,0:32:42,0:32:46,902,"1,014"
Running,2/21/24 9:46,FALSE,Running,3.35,477,0:31:03,157,178,3.5,171,216,9:16,6:37,190,230,1.02,0,"5,304",--,55.4,No,0:31:03,1,75.2,0:31:03,0:31:03,49,154
Running,2/20/24 17:03,FALSE,Running,3.78,482,0:42:20,140,163,2.7,92,218,11:12,3:46,98,128,1.77,0,"4,300",--,60.8,No,00:14.7,22,73.4,0:42:10,0:47:34,105,172
Running,1/12/24 12:58,FALSE,Running,2.21,313,0:20:01,158,171,3.2,168,174,9:03,7:11,125,115,1.06,0,"3,374",--,62.6,No,0:20:01,1,80.6,0:19:55,0:20:01,-246,452
